external_id,brand,processor,ram,ssd,hard_disk,operating_system,graphics,screen_size,resolution
LAP-000066,HP,11th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,14.0,1920x1080
LAP-000067,Samsung,12th Gen Core i5,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000068,Samsung,13th Gen Core i7,16,512,0,Windows,‎Intel Iris Xe Graphics,16.0,2880x1800
LAP-000069,Samsung,13th Gen Core i7,16,512,0,Windows,‎Intel Iris Xe Graphics,14.0,2880x1800
LAP-000070,Samsung,13th Gen Core i7,16,1000,0,Windows,‎Intel Iris Xe Graphics,14.0,2880x1800
LAP-000071,Samsung,13th Gen Core i5,16,512,0,Windows,‎Intel Iris Xe Graphics,14.0,2880x1800
LAP-000072,Samsung,13th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000073,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000074,Samsung,13th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,13.3,1920x1080
LAP-000075,Samsung,13th Gen Core i7,16,1000,0,Windows,Intel Iris Xe Graphics,13.3,1920x1080
LAP-000076,Samsung,13th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,13.3,1920x1080
LAP-000077,Samsung,13th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,16.0,2880x1800
LAP-000078,Samsung,13th Gen Core i7,16,1000,0,Windows,‎Intel Iris Xe Graphics,16.0,2880x1800
LAP-000079,Samsung,13th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,16.0,2880x1800
LAP-000080,Samsung,13th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000081,Samsung,13th Gen Core i7,16,1000,0,Windows,Intel Iris Xe Graphics,16.0,2880x1800
LAP-000082,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000083,Acer,AMD Ryzen 3 3250U,8,256,0,Windows,AMD Radeon Graphics,14.0,1366x768
LAP-000084,Dell,AMD Ryzen 5-5625U,8,512,0,Windows,AMD Radeon Radeon Graphics,15.6,1920x1080
LAP-000085,Acer,12th Gen Core i3,8,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000086,Lenovo,AMD Ryzen 5-5600H,8,256,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
